BewertungsDatum,Maturity,ATM_Puts_Bid,ATM_Puts_Ask,ATM_Calls_Bid,ATM_Calls_Ask,OTM_Puts_Bid,OTM_Puts_Ask,OTM_Calls_Bid,OTM_Calls_Ask,ATM_Strike,OTM_Put_Strike,OTM_Call_Strike
2022-06-17,2022-07-15,118.8,121.9,99.5,102.6,51.1,52.4,28.4,29.3,3700.0,3500.0,3900.0
2022-07-15,2022-08-19,120.0,122.5,84.5,86.7,52.2,53.3,16.6,17.4,3900.0,3700.0,4100.0
2022-08-19,2022-09-16,92.8,94.2,71.1,72.4,31.9,32.7,8.6,9.1,4250.0,4050.0,4450.0
2022-09-16,2022-10-21,108.5,132.8,101.6,118.1,44.0,59.3,29.6,30.7,3900.0,3700.0,4100.0
2022-10-21,2022-11-18,130.3,133.6,96.0,99.0,54.1,55.7,41.2,43.1,3800.0,3600.0,3950.0
2022-11-18,2022-12-16,103.3,112.9,79.1,80.1,37.8,38.6,15.3,15.9,4000.0,3800.0,4200.0
2022-12-16,2023-01-20,117.0,119.7,74.0,75.3,44.0,45.1,21.9,22.8,3900.0,3070.0,4050.0
2023-01-20,2023-02-17,87.1,91.9,67.9,69.1,27.0,28.0,8.1,8.8,4000.0,3800.0,4200.0
2023-02-17,2023-03-17,84.4,87.1,71.1,71.9,28.2,28.9,7.0,7.5,4100.0,3900.0,4300.0
2023-03-17,2023-04-21,112.2,117.0,93.0,95.6,51.3,53.6,17.1,18.8,3950.0,3750.0,4150.0
2023-04-21,2023-05-19,66.1,69.1,58.5,59.9,20.2,21.1,2.45,2.95,4150.0,3950.0,4350.0
2023-05-19,2023-06-16,58.4,67.5,60.8,62.3,20.3,21.5,1.65,2.0,4200.0,4000.0,4450.0
2023-06-16,2023-07-21,67.9,70.4,50.3,52.2,12.5,13.2,4.0,4.5,4450.0,4200.0,4650.0
2023-07-21,2023-08-18,49.9,59.8,51.8,56.3,11.8,12.5,0.95,1.3,4550.0,4350.0,4800.0
2023-08-18,2023-09-15,77.9,80.3,58.6,59.6,23.8,24.6,3.4,3.8,4400.0,4200.0,4600.0
2023-09-15,2023-10-20,71.9,79.7,43.6,49.9,15.3,16.1,2.45,2.8,4500.0,4250.0,4700.0
2023-10-20,2023-11-17,92.1,94.4,75.1,76.2,34.8,35.7,8.4,9.0,4250.0,4050.0,4450.0
2023-11-17,2023-12-15,67.5,68.8,41.3,42.4,10.2,10.8,2.2,2.45,4550.0,4300.0,4750.0
2023-12-15,2024-01-19,62.3,64.1,52.0,53.7,10.3,10.9,1.85,2.3,4750.0,4500.0,5000.0
2024-01-19,2024-02-16,55.3,56.5,60.4,61.7,9.3,9.7,2.2,2.5,4850.0,4600.0,5100.0
2024-02-16,2024-03-15,78.0,82.2,44.7,45.8,14.3,15.0,1.4,1.65,5050.0,4800.0,5300.0
2024-03-15,2024-04-19,77.8,79.4,72.0,73.6,18.2,19.2,4.6,5.3,5150.0,4900.0,5400.0
2024-04-19,2024-05-17,94.3,97.0,77.9,79.7,26.3,27.5,6.4,7.0,5000.0,4750.0,5250.0
2024-05-17,2024-06-21,74.2,76.7,52.8,53.8,10.6,11.1,2.05,2.35,5350.0,5050.0,5600.0
2024-06-21,2024-07-19,47.5,48.5,88.4,89.5,9.6,10.1,2.0,2.25,5450.0,5200.0,5750.0
2024-07-19,2024-08-16,89.0,91.5,66.6,69.0,19.1,20.0,4.1,4.6,5550.0,5250.0,5800.0
2024-08-16,2024-09-20,91.7,93.2,71.8,73.6,21.7,22.3,5.6,5.8,5600.0,5300.0,5850.0
2024-09-20,2024-10-18,87.4,92.3,57.3,59.1,20.6,21.9,3.9,4.6,5750.0,5450.0,6000.0
2024-10-18,2024-11-15,96.4,97.8,80.8,82.4,26.1,27.0,4.0,4.4,5900.0,5600.0,6200.0
2024-11-15,2024-12-20,91.0,93.8,90.8,93.5,27.0,28.0,5.9,6.5,5900.0,5600.0,6200.0
2024-12-20,2025-01-17,89.9,91.5,94.4,96.0,28.0,28.8,2.9,3.4,5950.0,5650.0,6250.0
2025-01-17,2025-02-21,83.6,85.2,100.3,102.0,22.8,23.5,7.0,7.7,6000.0,5700.0,6300.0
2025-02-21,2025-03-21,98.9,100.4,78.9,80.3,30.2,30.8,2.0,2.35,6050.0,5750.0,6350.0
2025-03-21,2025-04-17,109.2,110.4,94.5,96.0,29.6,30.2,5.3,5.8,5700.0,5400.0,6000.0
2025-04-17,2025-05-16,146.3,149.5,155.9,159.1,71.9,74.5,41.7,44.1,5300.0,5050.0,5550.0
2025-05-16,2025-06-20,130.4,133.3,79.3,81.7,42.5,44.8,7.1,8.1,6000.0,5700.0,6300.0
2025-06-20,2025-07-18,107.8,110.1,98.4,100.6,38.1,39.8,5.6,6.1,6000.0,5700.0,6300.0
2025-07-18,2025-08-15,83.1,84.3,97.6,98.9,23.3,24.0,3.1,3.5,6300.0,6000.0,6650.0
2025-08-15,2025-09-19,85.6,87.7,102.6,104.8,27.9,29.5,4.1,5.1,6450.0,6150.0,6800.0
2025-09-19,2025-10-17,95.3,96.8,75.8,77.1,22.6,23.4,4.0,4.5,6700.0,6350.0,7000.0
2025-10-17,,,,,,,,,,,,
